stress,strain
0.00316229,0.00000
0.00690895,0.00000
0.01027886,0.00001
0.01592327,0.00003
0.02228632,0.00004
0.02950057,0.00005
0.03628921,0.00006
0.04496863,0.00008
0.04907810,0.00009
0.05531557,0.00010
0.05990645,0.00011
0.06496480,0.00013
0.06739978,0.00014
0.06844633,0.00015
0.07208136,0.00016
0.07792113,0.00018
0.07986772,0.00019
0.08418650,0.00020
0.08846340,0.00021
0.09004719,0.00023
0.09128213,0.00024
0.09541252,0.00025
0.09973132,0.00026
0.10513150,0.00027
0.11188530,0.00029
0.11545060,0.00030
0.11960190,0.00031
0.12341830,0.00032
0.12597890,0.00033
0.13212570,0.00034
0.13943760,0.00036
0.14488660,0.00037
0.14851470,0.00038
0.15117990,0.00039
0.16161060,0.00041
0.16642470,0.00042
0.17073650,0.00043
0.17365990,0.00044
0.18129280,0.00045
0.18822090,0.00047
0.19579800,0.00048
0.20015170,0.00049
0.20814730,0.00050
0.21626160,0.00051
0.22028040,0.00052
0.22579220,0.00054
0.23546940,0.00055
0.24373020,0.00056
0.24926990,0.00057
0.25566790,0.00059
0.26367050,0.00060
0.26923120,0.00061
0.27720590,0.00062
0.28292010,0.00063
0.29254840,0.00065
0.29981850,0.00066
0.30791180,0.00067
0.31804250,0.00068
0.32687540,0.00069
0.33277100,0.00070
0.33759210,0.00072
0.35234160,0.00073
0.36269550,0.00074
0.37011210,0.00075
0.37902180,0.00077
0.38710110,0.00078
0.39723870,0.00079
0.40441110,0.00080
0.41750000,0.00081
0.43239590,0.00083
0.44219170,0.00084
0.45256650,0.00085
0.46190180,0.00086
0.47242310,0.00088
0.48241420,0.00088
0.49456110,0.00090
0.50884310,0.00091
0.52389950,0.00092
0.53253710,0.00093
0.54776800,0.00095
0.56483380,0.00096
0.57335980,0.00097
0.58474630,0.00098
0.60384940,0.00099
0.61795700,0.00101
0.63054350,0.00102
0.64665350,0.00103
0.66430530,0.00104
0.67798020,0.00105
0.69223440,0.00106
0.71430970,0.00108
0.73328720,0.00109
0.74460390,0.00110
0.76374190,0.00111
0.78294980,0.00113
0.79587130,0.00114
0.81508600,0.00115
0.83783110,0.00116
0.85747130,0.00117
0.87487900,0.00119
0.89737300,0.00120
0.91847140,0.00121
0.93776990,0.00122
0.95959400,0.00123
0.98665100,0.00125
1.00628400,0.00126
1.02890400,0.00127
1.05537500,0.00128
1.07616600,0.00129
1.09374800,0.00130
1.12719600,0.00132
1.15080000,0.00133
1.17257500,0.00134
1.20563200,0.00135
1.22876100,0.00136
1.24985200,0.00137
1.28579100,0.00139
1.30972900,0.00140
1.34044200,0.00141
1.36934800,0.00143
1.40114900,0.00144
1.42095000,0.00145
1.46341200,0.00146
1.49605100,0.00147
1.52245200,0.00148
1.55068100,0.00150
1.58747100,0.00151
1.61223900,0.00152
1.64693600,0.00153
1.68378200,0.00154
1.71682500,0.00156
1.75343300,0.00157
1.78403400,0.00158
1.81028900,0.00159
1.85284900,0.00160
1.89233200,0.00161
1.92420300,0.00163
1.96457200,0.00164
1.99946400,0.00165
2.03407000,0.00166
2.07785100,0.00167
2.11620400,0.00169
2.15791900,0.00170
2.19198800,0.00171
2.23227400,0.00172
2.28249400,0.00174
2.31907500,0.00175
2.35802000,0.00176
2.39853600,0.00177
2.43870900,0.00178
2.48486900,0.00179
2.52798700,0.00181
2.57654700,0.00182
2.61394400,0.00183
2.65600800,0.00184
2.71049200,0.00185
2.74832800,0.00186
2.80484300,0.00188
2.84542100,0.00189
2.89220200,0.00190
2.94505300,0.00191
2.99020100,0.00192
3.04418900,0.00194
3.08483700,0.00195
3.13293700,0.00196
3.18825100,0.00197
3.23822700,0.00199
3.29111400,0.00200
3.33382000,0.00201
3.39343200,0.00202
3.44683400,0.00203
3.49878600,0.00204
3.54743600,0.00206
3.59519400,0.00207
3.65535600,0.00208
3.71283300,0.00209
3.76740000,0.00210
3.81191300,0.00211
3.87377200,0.00213
3.93302800,0.00214
3.99460700,0.00215
4.04026500,0.00216
4.10211600,0.00217
4.16378600,0.00219
4.22423400,0.00220
4.27165700,0.00221
4.33242000,0.00222
4.39719500,0.00223
4.45298300,0.00225
4.50665800,0.00226
4.56402900,0.00227
4.62281100,0.00228
4.68466900,0.00229
4.73809200,0.00230
4.79538700,0.00232
4.85726700,0.00233
4.92140000,0.00234
4.97139000,0.00235
5.03853100,0.00236
5.10749200,0.00238
5.17422000,0.00239
5.22409900,0.00240
5.29521600,0.00241
5.35126900,0.00242
5.42201700,0.00244
5.47622200,0.00245
5.54369600,0.00246
5.61032600,0.00247
5.66535400,0.00248
5.73753100,0.00249
5.79813400,0.00251
5.86777800,0.00252
5.92874400,0.00253
5.98947900,0.00254
6.05506900,0.00255
6.10293900,0.00256
6.17786500,0.00258
6.24748100,0.00259
6.30987000,0.00260
6.38677200,0.00261
6.46260500,0.00263
6.52132500,0.00264
6.60011600,0.00265
6.66828800,0.00266
6.73024400,0.00267
6.80757700,0.00269
6.87716600,0.00270
6.94775300,0.00271
7.01086700,0.00272
7.09250600,0.00274
7.16501000,0.00275
7.22035200,0.00276
7.30480200,0.00277
7.37181600,0.00278
7.43774200,0.00280
7.50013000,0.00281
7.56972000,0.00282
7.63801100,0.00283
7.68994900,0.00285
7.76352200,0.00286
7.81801200,0.00287
7.88704100,0.00288
7.94032500,0.00289
8.02128000,0.00291
8.08724800,0.00292
8.14778100,0.00293
8.21351100,0.00294
8.29365700,0.00295
8.36319000,0.00297
8.42035300,0.00298
8.49043000,0.00299
8.55914600,0.00300
8.61694300,0.00302
8.66689800,0.00303
8.73443000,0.00304
8.80692700,0.00305
8.86997200,0.00306
8.92869100,0.00307
9.00174700,0.00309
9.07324800,0.00310
9.14827900,0.00311
9.20302700,0.00312
9.27900100,0.00313
9.35308900,0.00315
9.43023500,0.00316
9.46796000,0.00317
9.55139100,0.00318
9.62110500,0.00320
9.69912300,0.00321
9.74233200,0.00322
9.81959600,0.00323
9.87578300,0.00325
9.93167500,0.00326
9.98621400,0.00327
10.05213000,0.00328
10.11748000,0.00329
10.18452000,0.00331
10.23347000,0.00332
10.29170000,0.00333
10.36537000,0.00334
10.43027000,0.00335
10.48737000,0.00336
10.54736000,0.00338
10.58658000,0.00339
10.61708000,0.00340
10.66147000,0.00342
10.69481000,0.00343
10.75991000,0.00344
10.81420000,0.00345
10.85783000,0.00346
10.89753000,0.00348
10.94736000,0.00349
11.00667000,0.00350
11.05078000,0.00351
11.11297000,0.00352
11.15229000,0.00353
11.20741000,0.00355
11.25733000,0.00356
11.29931000,0.00357
11.34373000,0.00358
11.37795000,0.00359
11.44248000,0.00361
11.49513000,0.00362
11.55724000,0.00363
11.61043000,0.00364
11.65831000,0.00365
11.72556000,0.00367
11.77565000,0.00368
11.83462000,0.00369
11.86710000,0.00370
11.93125000,0.00372
11.97254000,0.00373
12.01506000,0.00374
12.07064000,0.00375
12.10835000,0.00376
12.17586000,0.00377
12.22982000,0.00379
12.28119000,0.00380
12.33377000,0.00381
12.39375000,0.00382
12.46600000,0.00384
12.53137000,0.00385
12.58630000,0.00386
12.62768000,0.00387
12.70639000,0.00388
12.76061000,0.00390
12.80328000,0.00391
12.83057000,0.00392
12.87458000,0.00393
12.93626000,0.00395
12.96689000,0.00396
13.00734000,0.00397
13.04498000,0.00398
13.07604000,0.00399
13.13095000,0.00401
13.16589000,0.00402
13.21817000,0.00403
13.26004000,0.00404
13.30336000,0.00405
13.37170000,0.00407
13.40813000,0.00408
13.46444000,0.00409
13.51356000,0.00410
13.56765000,0.00411
13.62480000,0.00413
13.64636000,0.00414
13.67823000,0.00415
13.71446000,0.00416
13.76654000,0.00417
13.84112000,0.00419
13.88479000,0.00420
13.94397000,0.00421
13.97902000,0.00422
14.04050000,0.00423
14.12070000,0.00425
14.17638000,0.00426
14.24123000,0.00427
14.27266000,0.00428
14.35114000,0.00429
14.40720000,0.00431
14.46541000,0.00432
14.52099000,0.00433
14.56602000,0.00434
14.65407000,0.00435
14.69471000,0.00437
14.75584000,0.00438
14.80154000,0.00439
14.86061000,0.00440
14.90870000,0.00442
14.93931000,0.00443
14.98503000,0.00444
15.01770000,0.00445
15.07397000,0.00446
15.14508000,0.00448
15.19126000,0.00449
15.24466000,0.00450
15.28613000,0.00451
15.36438000,0.00452
15.41975000,0.00453
15.48017000,0.00455
15.52593000,0.00456
15.55875000,0.00457
15.62022000,0.00458
15.64911000,0.00460
15.68612000,0.00461
15.72923000,0.00462
15.76352000,0.00463
15.83385000,0.00464
15.88465000,0.00465
15.94417000,0.00467
15.98943000,0.00468
16.02973000,0.00469
16.09270000,0.00470
16.12997000,0.00472
16.17378000,0.00473
16.20731000,0.00474
16.25886000,0.00475
16.32227000,0.00476
16.36179000,0.00478
16.40216000,0.00479
16.42384000,0.00480
16.45920000,0.00481
16.51475000,0.00482
16.55116000,0.00483
16.59979000,0.00485
16.64233000,0.00486
16.68625000,0.00487
16.73880000,0.00489
16.77140000,0.00490
16.82159000,0.00491
16.85404000,0.00492
16.88804000,0.00493
16.94659000,0.00495
16.98446000,0.00496
17.01785000,0.00497
17.05546000,0.00498
17.08174000,0.00499
17.13789000,0.00501
17.17020000,0.00502
17.19353000,0.00503
17.21526000,0.00504
17.20753000,0.00506
17.20622000,0.00507
17.23934000,0.00508
17.23671000,0.00509
17.22500000,0.00510
17.22522000,0.00512
17.24422000,0.00513
17.26593000,0.00514
17.27876000,0.00515
17.30787000,0.00516
17.32956000,0.00518
17.33613000,0.00519
17.35827000,0.00520
17.37351000,0.00521
17.35702000,0.00522
17.36783000,0.00524
17.38114000,0.00525
17.37952000,0.00526
17.39506000,0.00527
17.40485000,0.00528
17.41429000,0.00530
17.41872000,0.00531
17.44120000,0.00532
17.46668000,0.00533
17.44866000,0.00535
17.42218000,0.00536
17.38641000,0.00537
17.34533000,0.00538
17.30397000,0.00540
17.25693000,0.00541
17.22169000,0.00542
17.18150000,0.00543
17.12724000,0.00545
17.05168000,0.00546
16.96006000,0.00547
16.85735000,0.00548
16.73129000,0.00550
16.59167000,0.00551
16.45968000,0.00553
16.34803000,0.00554
16.14834000,0.00554
16.06316000,0.00555
15.99753000,0.00556
15.97270000,0.00558
15.89851000,0.00559
15.79404000,0.00561
15.71385000,0.00562
15.64893000,0.00562
15.60945000,0.00564
15.56609000,0.00565
15.48423000,0.00567
15.39678000,0.00568
15.31031000,0.00569
15.23124000,0.00570
15.15385000,0.00571
15.06051000,0.00572
14.92994000,0.00574
14.76378000,0.00576
14.59901000,0.00578
14.37256000,0.00578
14.24670000,0.00579
14.15953000,0.00579
14.08074000,0.00580
14.02575000,0.00581
14.02572000,0.00583
13.98211000,0.00584
13.90603000,0.00586
13.79671000,0.00587
13.67087000,0.00589
13.52802000,0.00590
13.34657000,0.00592
13.02982000,0.00594
12.76865000,0.00594
12.59205000,0.00594
12.45647000,0.00595
12.34080000,0.00597
12.20258000,0.00598
12.03350000,0.00600
11.84193000,0.00601
11.68000000,0.00602
11.56667000,0.00603
11.49615000,0.00603
11.42845000,0.00604
11.38433000,0.00605
11.38061000,0.00606
11.38566000,0.00608
11.36548000,0.00609
11.31817000,0.00611
11.26619000,0.00612
11.22764000,0.00613
11.20590000,0.00614
11.19550000,0.00615
11.19712000,0.00616
11.16475000,0.00618
11.12382000,0.00619
11.09211000,0.00620
11.07815000,0.00621
11.06785000,0.00622
11.06190000,0.00623
11.04898000,0.00625
11.03146000,0.00626
11.00389000,0.00627
